timestamp,ecg_measurement,qrs_detected
0.000000000000000000e+00,-1.447668311176702360e+00,0.000000000000000000e+00
1.000000000000000000e+00,-1.068645560220351509e+00,0.000000000000000000e+00
2.000000000000000000e+00,-6.682414768759900037e-01,0.000000000000000000e+00
3.000000000000000000e+00,-6.840132190930194866e-01,0.000000000000000000e+00
4.000000000000000000e+00,-3.930270739375591460e-01,0.000000000000000000e+00
5.000000000000000000e+00,-3.416952670496690714e-01,0.000000000000000000e+00
6.000000000000000000e+00,-1.923385406878088955e-01,0.000000000000000000e+00
7.000000000000000000e+00,-1.046238846579699289e-01,0.000000000000000000e+00
8.000000000000000000e+00,1.012677764839198802e-01,0.000000000000000000e+00
9.000000000000000000e+00,2.806997291459289445e-01,0.000000000000000000e+00
1.000000000000000000e+01,5.859755657677038210e-01,0.000000000000000000e+00
1.100000000000000000e+01,8.122712150246994556e-01,0.000000000000000000e+00
1.200000000000000000e+01,8.957516578475869240e-01,0.000000000000000000e+00
1.300000000000000000e+01,7.005354067514001359e-01,0.000000000000000000e+00
1.400000000000000000e+01,3.304216655775186195e-01,0.000000000000000000e+00
1.500000000000000000e+01,-3.438431449371667226e-01,1.000000000000000000e+00
1.600000000000000000e+01,-7.195356962572299064e-01,0.000000000000000000e+00
1.700000000000000000e+01,-8.371671948944650055e-01,0.000000000000000000e+00
1.800000000000000000e+01,-9.584699512582356418e-01,0.000000000000000000e+00
1.900000000000000000e+01,-9.221068994911905126e-01,0.000000000000000000e+00
2.000000000000000000e+01,-8.012565462743070910e-01,0.000000000000000000e+00
2.100000000000000000e+01,-6.707227254200511801e-01,0.000000000000000000e+00
2.200000000000000000e+01,-5.806641505022519523e-01,0.000000000000000000e+00
2.300000000000000000e+01,-4.742294071536387601e-01,0.000000000000000000e+00
2.400000000000000000e+01,-4.910714825572794484e-01,0.000000000000000000e+00
2.500000000000000000e+01,-3.864665009809130081e-01,0.000000000000000000e+00
2.600000000000000000e+01,-3.578784228685527036e-01,0.000000000000000000e+00
2.700000000000000000e+01,-2.142874068591548165e-01,0.000000000000000000e+00
2.800000000000000000e+01,-2.518871118580664481e-01,0.000000000000000000e+00
2.900000000000000000e+01,-2.281622296030063057e-01,0.000000000000000000e+00
