timestamp,ecg_measurement,qrs_detected
0.000000000000000000e+00,1.130250315580713649e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.299730146320919932e-01,0.000000000000000000e+00
2.000000000000000000e+00,2.691193883135414855e-01,0.000000000000000000e+00
3.000000000000000000e+00,2.927668862702431096e-01,0.000000000000000000e+00
4.000000000000000000e+00,1.441455289372458315e-01,0.000000000000000000e+00
5.000000000000000000e+00,3.363797577313022980e-01,0.000000000000000000e+00
6.000000000000000000e+00,2.424782763221454140e-01,0.000000000000000000e+00
7.000000000000000000e+00,6.054753703303089596e-01,0.000000000000000000e+00
8.000000000000000000e+00,4.131241012503312771e-01,0.000000000000000000e+00
9.000000000000000000e+00,5.118103956459592041e-01,0.000000000000000000e+00
1.000000000000000000e+01,1.116459250215615789e-01,0.000000000000000000e+00
1.100000000000000000e+01,1.387489806160137895e-01,0.000000000000000000e+00
1.200000000000000000e+01,2.611407395035968970e-01,0.000000000000000000e+00
1.300000000000000000e+01,-1.031435731926070576e-01,0.000000000000000000e+00
1.400000000000000000e+01,1.147943403329127143e+00,0.000000000000000000e+00
1.500000000000000000e+01,6.169510633578522807e+00,0.000000000000000000e+00
1.600000000000000000e+01,9.526063554214292406e-01,1.000000000000000000e+00
1.700000000000000000e+01,-1.045056339391821298e+00,0.000000000000000000e+00
1.800000000000000000e+01,-3.230549573531488750e-01,0.000000000000000000e+00
1.900000000000000000e+01,-5.937493541807185027e-01,0.000000000000000000e+00
2.000000000000000000e+01,-5.020003713819484181e-01,0.000000000000000000e+00
2.100000000000000000e+01,-3.795556943645729264e-01,0.000000000000000000e+00
2.200000000000000000e+01,-3.680827197915156335e-01,0.000000000000000000e+00
2.300000000000000000e+01,-3.083169914589933280e-01,0.000000000000000000e+00
2.400000000000000000e+01,-3.264517312171549834e-01,0.000000000000000000e+00
2.500000000000000000e+01,-6.197148755519048952e-02,0.000000000000000000e+00
2.600000000000000000e+01,2.119227041527021321e-02,0.000000000000000000e+00
2.700000000000000000e+01,2.428790469219934967e-01,0.000000000000000000e+00
2.800000000000000000e+01,6.450812277163268105e-01,0.000000000000000000e+00
2.900000000000000000e+01,7.335776794004732482e-01,0.000000000000000000e+00
3.000000000000000000e+01,1.114144337615888158e+00,0.000000000000000000e+00
3.100000000000000000e+01,9.685987537841520556e-01,0.000000000000000000e+00
3.200000000000000000e+01,6.443371394129813190e-01,0.000000000000000000e+00
3.300000000000000000e+01,-4.345952474742566934e-02,0.000000000000000000e+00
3.400000000000000000e+01,-6.885999799247634057e-01,0.000000000000000000e+00
3.500000000000000000e+01,-1.122504207218586680e+00,0.000000000000000000e+00
3.600000000000000000e+01,-1.124395475518109144e+00,0.000000000000000000e+00
3.700000000000000000e+01,-1.264365880452736457e+00,0.000000000000000000e+00
3.800000000000000000e+01,-1.089275214451496776e+00,0.000000000000000000e+00
3.900000000000000000e+01,-1.022794941773565558e+00,0.000000000000000000e+00
4.000000000000000000e+01,-8.938869501384233418e-01,0.000000000000000000e+00
4.100000000000000000e+01,-9.257657499541842583e-01,0.000000000000000000e+00
4.200000000000000000e+01,-6.698312121472526082e-01,0.000000000000000000e+00
4.300000000000000000e+01,-6.529335465475353262e-01,0.000000000000000000e+00
4.400000000000000000e+01,-6.005916492050499267e-01,0.000000000000000000e+00
4.500000000000000000e+01,-2.723646086424397206e-01,0.000000000000000000e+00
4.600000000000000000e+01,-3.506873761315896787e-01,0.000000000000000000e+00
4.700000000000000000e+01,-3.739444611530373663e-01,0.000000000000000000e+00
4.800000000000000000e+01,-3.715131493530564044e-01,0.000000000000000000e+00
4.900000000000000000e+01,-2.376378063942484187e-01,0.000000000000000000e+00
5.000000000000000000e+01,-6.857059003662219210e-02,0.000000000000000000e+00
5.100000000000000000e+01,-1.967075449878306348e-01,0.000000000000000000e+00
5.200000000000000000e+01,-6.854806728189645482e-02,0.000000000000000000e+00
5.300000000000000000e+01,-1.245602618748356712e-02,0.000000000000000000e+00
5.400000000000000000e+01,-8.571923241071938149e-02,0.000000000000000000e+00
5.500000000000000000e+01,3.364960880076518779e-03,0.000000000000000000e+00
5.600000000000000000e+01,-1.146721431874708347e-01,0.000000000000000000e+00
5.700000000000000000e+01,2.108994852206484694e-01,0.000000000000000000e+00
5.800000000000000000e+01,9.395330134439965064e-02,0.000000000000000000e+00
5.900000000000000000e+01,2.600894683988850820e-01,0.000000000000000000e+00
6.000000000000000000e+01,1.959612130655881412e-01,0.000000000000000000e+00
6.100000000000000000e+01,1.635942775965226748e-01,0.000000000000000000e+00
6.200000000000000000e+01,2.151100690149150008e-01,0.000000000000000000e+00
6.300000000000000000e+01,5.175842468698724774e-01,0.000000000000000000e+00
