timestamp,ecg_measurement,qrs_detected
0.000000000000000000e+00,3.761103451913553469e-02,0.000000000000000000e+00
1.000000000000000000e+00,-3.220513487054297436e-02,0.000000000000000000e+00
2.000000000000000000e+00,1.741700460706281390e-03,0.000000000000000000e+00
3.000000000000000000e+00,2.199146956124264085e-01,0.000000000000000000e+00
4.000000000000000000e+00,9.777937225574533098e-02,0.000000000000000000e+00
5.000000000000000000e+00,1.754265493059518621e-01,0.000000000000000000e+00
6.000000000000000000e+00,3.099676370031573813e-01,0.000000000000000000e+00
7.000000000000000000e+00,2.422121294410947701e-01,0.000000000000000000e+00
8.000000000000000000e+00,2.524024677969276542e-01,0.000000000000000000e+00
9.000000000000000000e+00,4.365888880727253896e-01,0.000000000000000000e+00
1.000000000000000000e+01,2.153789498383100187e-01,0.000000000000000000e+00
1.100000000000000000e+01,4.558555296371014087e-01,0.000000000000000000e+00
1.200000000000000000e+01,2.445527780048918076e-01,0.000000000000000000e+00
1.300000000000000000e+01,5.960413230595444922e-01,0.000000000000000000e+00
1.400000000000000000e+01,3.540305716621057752e-01,0.000000000000000000e+00
1.500000000000000000e+01,4.235114663745940811e-01,0.000000000000000000e+00
1.600000000000000000e+01,4.485618948515294746e-01,0.000000000000000000e+00
1.700000000000000000e+01,4.119472293741378577e-01,0.000000000000000000e+00
1.800000000000000000e+01,5.985146053681307254e-01,0.000000000000000000e+00
1.900000000000000000e+01,8.237361716573283754e-01,0.000000000000000000e+00
2.000000000000000000e+01,7.664187447963716204e-01,0.000000000000000000e+00
2.100000000000000000e+01,6.108436275191970743e-01,0.000000000000000000e+00
2.200000000000000000e+01,5.782074711074614015e-01,0.000000000000000000e+00
2.300000000000000000e+01,9.962499254311205088e-02,0.000000000000000000e+00
2.400000000000000000e+01,1.455780374764113483e-01,0.000000000000000000e+00
2.500000000000000000e+01,6.052141752448333273e-02,0.000000000000000000e+00
2.600000000000000000e+01,1.327997911380933982e-01,0.000000000000000000e+00
2.700000000000000000e+01,3.194348591254155822e-01,0.000000000000000000e+00
2.800000000000000000e+01,2.203460603636634429e-01,0.000000000000000000e+00
2.900000000000000000e+01,2.551049827827885252e+00,0.000000000000000000e+00
3.000000000000000000e+01,4.704846384262896031e+00,0.000000000000000000e+00
3.100000000000000000e+01,4.495100394031625868e-01,1.000000000000000000e+00
3.200000000000000000e+01,-1.710136807326112507e-01,0.000000000000000000e+00
3.300000000000000000e+01,-9.860725661014281551e-02,0.000000000000000000e+00
3.400000000000000000e+01,-6.019192829493744679e-01,0.000000000000000000e+00
3.500000000000000000e+01,-4.981863867642369881e-01,0.000000000000000000e+00
3.600000000000000000e+01,-5.165976736523876234e-01,0.000000000000000000e+00
3.700000000000000000e+01,-3.544252919059264206e-01,0.000000000000000000e+00
3.800000000000000000e+01,-3.602378522933777361e-01,0.000000000000000000e+00
3.900000000000000000e+01,-5.947468077813035381e-02,0.000000000000000000e+00
4.000000000000000000e+01,1.609433236238556608e-01,0.000000000000000000e+00
4.100000000000000000e+01,3.737430570698739296e-01,0.000000000000000000e+00
4.200000000000000000e+01,8.679908184622008305e-01,0.000000000000000000e+00
4.300000000000000000e+01,9.745868287645662598e-01,0.000000000000000000e+00
4.400000000000000000e+01,1.288314031618766675e+00,0.000000000000000000e+00
4.500000000000000000e+01,1.133522516822104587e+00,0.000000000000000000e+00
4.600000000000000000e+01,5.454189101217211677e-01,0.000000000000000000e+00
4.700000000000000000e+01,-6.269122481350213327e-01,0.000000000000000000e+00
4.800000000000000000e+01,-1.480594327146095512e+00,0.000000000000000000e+00
4.900000000000000000e+01,-2.018628093053648431e+00,0.000000000000000000e+00
5.000000000000000000e+01,-2.099262313229807386e+00,0.000000000000000000e+00
5.100000000000000000e+01,-2.009777899337303886e+00,0.000000000000000000e+00
5.200000000000000000e+01,-1.677337195096026745e+00,0.000000000000000000e+00
5.300000000000000000e+01,-1.591956014524438245e+00,0.000000000000000000e+00
5.400000000000000000e+01,-1.371315852979560823e+00,0.000000000000000000e+00
5.500000000000000000e+01,-1.256229992040293730e+00,0.000000000000000000e+00
5.600000000000000000e+01,-9.864676867431203533e-01,0.000000000000000000e+00
5.700000000000000000e+01,-8.450243216621938780e-01,0.000000000000000000e+00
5.800000000000000000e+01,-7.261684880918765073e-01,0.000000000000000000e+00
5.900000000000000000e+01,-6.545411420033399041e-01,0.000000000000000000e+00
6.000000000000000000e+01,-4.145867796153309692e-01,0.000000000000000000e+00
6.100000000000000000e+01,-3.802551219547511407e-01,0.000000000000000000e+00
6.200000000000000000e+01,-4.879100148509382118e-01,0.000000000000000000e+00
6.300000000000000000e+01,-3.621375499633427419e-01,0.000000000000000000e+00
6.400000000000000000e+01,-2.346557951926380170e-01,0.000000000000000000e+00
6.500000000000000000e+01,-2.193159377527352238e-01,0.000000000000000000e+00
6.600000000000000000e+01,-4.950936847469954855e-02,0.000000000000000000e+00
6.700000000000000000e+01,-9.877362074836461281e-02,0.000000000000000000e+00
6.800000000000000000e+01,-1.867639165104535356e-02,0.000000000000000000e+00
6.900000000000000000e+01,2.647275559232649053e-03,0.000000000000000000e+00
7.000000000000000000e+01,1.340707962034215842e-02,0.000000000000000000e+00
7.100000000000000000e+01,2.294599862938009049e-01,0.000000000000000000e+00
7.200000000000000000e+01,3.532982828012470877e-01,0.000000000000000000e+00
7.300000000000000000e+01,1.958266358985326361e-01,0.000000000000000000e+00
7.400000000000000000e+01,3.171245863188548175e-01,0.000000000000000000e+00
7.500000000000000000e+01,1.756163118674286816e-01,0.000000000000000000e+00
7.600000000000000000e+01,2.916269766527818663e-01,0.000000000000000000e+00
7.700000000000000000e+01,5.167908259242405267e-01,0.000000000000000000e+00
7.800000000000000000e+01,4.065918064914113561e-01,0.000000000000000000e+00
7.900000000000000000e+01,5.289611646900770348e-01,0.000000000000000000e+00
8.000000000000000000e+01,2.742695958662208500e-01,0.000000000000000000e+00
8.100000000000000000e+01,4.518340343520063640e-01,0.000000000000000000e+00
8.200000000000000000e+01,4.626291084074549698e-01,0.000000000000000000e+00
8.300000000000000000e+01,5.846274722939552859e-01,0.000000000000000000e+00
8.400000000000000000e+01,7.694529482939854725e-01,0.000000000000000000e+00
8.500000000000000000e+01,8.550018618012501515e-01,0.000000000000000000e+00
8.600000000000000000e+01,5.768212991477855711e-01,0.000000000000000000e+00
8.700000000000000000e+01,6.000937833006351196e-01,0.000000000000000000e+00
8.800000000000000000e+01,1.214799196960413413e-01,0.000000000000000000e+00
8.900000000000000000e+01,1.139257851632841517e-01,0.000000000000000000e+00
9.000000000000000000e+01,2.211867038865058810e-01,0.000000000000000000e+00
9.100000000000000000e+01,2.460784792206618110e-01,0.000000000000000000e+00
9.200000000000000000e+01,3.298094213478441339e-01,0.000000000000000000e+00
9.300000000000000000e+01,3.102880112825938119e-01,0.000000000000000000e+00
9.400000000000000000e+01,2.321787027660512148e+00,0.000000000000000000e+00
9.500000000000000000e+01,3.903610371931288459e+00,0.000000000000000000e+00
9.600000000000000000e+01,5.627895270481987344e-01,1.000000000000000000e+00
9.700000000000000000e+01,-1.220077820616235625e-01,0.000000000000000000e+00
9.800000000000000000e+01,1.115022993108852611e-01,0.000000000000000000e+00
9.900000000000000000e+01,-3.604585595136594600e-01,0.000000000000000000e+00
1.000000000000000000e+02,-3.298906339603243643e-01,0.000000000000000000e+00
1.010000000000000000e+02,-5.004991372380699355e-01,0.000000000000000000e+00
1.020000000000000000e+02,-1.880935346666872399e-01,0.000000000000000000e+00
1.030000000000000000e+02,-1.700842178984155184e-01,0.000000000000000000e+00
1.040000000000000000e+02,-5.359251436101454547e-02,0.000000000000000000e+00
1.050000000000000000e+02,1.743848336136569199e-01,0.000000000000000000e+00
1.060000000000000000e+02,4.221155079958914813e-01,0.000000000000000000e+00
1.070000000000000000e+02,7.575851433320152095e-01,0.000000000000000000e+00
1.080000000000000000e+02,9.493301821880487656e-01,0.000000000000000000e+00
1.090000000000000000e+02,1.322309725774409195e+00,0.000000000000000000e+00
1.100000000000000000e+02,1.193980965554184648e+00,0.000000000000000000e+00
1.110000000000000000e+02,5.061126084234573996e-01,0.000000000000000000e+00
1.120000000000000000e+02,-6.593615028713988302e-01,0.000000000000000000e+00
1.130000000000000000e+02,-1.560373251912560599e+00,0.000000000000000000e+00
1.140000000000000000e+02,-1.937579458398471566e+00,0.000000000000000000e+00
1.150000000000000000e+02,-1.978687139838720910e+00,0.000000000000000000e+00
1.160000000000000000e+02,-1.823418021528101951e+00,0.000000000000000000e+00
1.170000000000000000e+02,-1.659224993895755507e+00,0.000000000000000000e+00
1.180000000000000000e+02,-1.508647897595785103e+00,0.000000000000000000e+00
1.190000000000000000e+02,-1.329060548071890224e+00,0.000000000000000000e+00
1.200000000000000000e+02,-1.167972999761461628e+00,0.000000000000000000e+00
1.210000000000000000e+02,-9.263083938903884373e-01,0.000000000000000000e+00
1.220000000000000000e+02,-7.458092771488925576e-01,0.000000000000000000e+00
1.230000000000000000e+02,-6.490303874451970323e-01,0.000000000000000000e+00
1.240000000000000000e+02,-4.788754239643215338e-01,0.000000000000000000e+00
1.250000000000000000e+02,-5.377133410233413402e-01,0.000000000000000000e+00
1.260000000000000000e+02,-3.247243196463936998e-01,0.000000000000000000e+00
1.270000000000000000e+02,-3.598408230858963219e-01,0.000000000000000000e+00
1.280000000000000000e+02,-2.149938130586597773e-01,0.000000000000000000e+00
1.290000000000000000e+02,-2.646557610237578184e-01,0.000000000000000000e+00
1.300000000000000000e+02,-2.172878893512035503e-01,0.000000000000000000e+00
1.310000000000000000e+02,-1.065862454535106418e-01,0.000000000000000000e+00
1.320000000000000000e+02,-5.300820815853215379e-02,0.000000000000000000e+00
1.330000000000000000e+02,3.041517287738684967e-03,0.000000000000000000e+00
1.340000000000000000e+02,1.287458150843999727e-01,0.000000000000000000e+00
1.350000000000000000e+02,5.340102299209895792e-02,0.000000000000000000e+00
1.360000000000000000e+02,8.945318826797078737e-02,0.000000000000000000e+00
1.370000000000000000e+02,1.795052231350678373e-01,0.000000000000000000e+00
1.380000000000000000e+02,2.596347691358496523e-01,0.000000000000000000e+00
1.390000000000000000e+02,2.244725289267941459e-01,0.000000000000000000e+00
1.400000000000000000e+02,2.204103088701883095e-01,0.000000000000000000e+00
1.410000000000000000e+02,3.685169445008997235e-01,0.000000000000000000e+00
1.420000000000000000e+02,2.741503418464319441e-01,0.000000000000000000e+00
1.430000000000000000e+02,3.860257606134677721e-01,0.000000000000000000e+00
1.440000000000000000e+02,3.496799986069124566e-01,0.000000000000000000e+00
1.450000000000000000e+02,3.536436174149103495e-01,0.000000000000000000e+00
1.460000000000000000e+02,2.684705104324074387e-01,0.000000000000000000e+00
1.470000000000000000e+02,4.621634416553727642e-01,0.000000000000000000e+00
1.480000000000000000e+02,4.650325881936766548e-01,0.000000000000000000e+00
1.490000000000000000e+02,6.819533556359649307e-01,0.000000000000000000e+00
1.500000000000000000e+02,9.209221258731445925e-01,0.000000000000000000e+00
1.510000000000000000e+02,6.086725742432060882e-01,0.000000000000000000e+00
1.520000000000000000e+02,6.408442325776133597e-01,0.000000000000000000e+00
1.530000000000000000e+02,2.591309284221979259e-01,0.000000000000000000e+00
1.540000000000000000e+02,1.444990409956262156e-01,0.000000000000000000e+00
